####.####,-7721573613531946780,0.0064377673,3728,0.0064377673,3728
.#.O..##.,-4406044393909372658,0.78521895,31134,0.7506471,34705
####.###O,-4477047442833239771,0.001119401,21440,0.001119401,21440
.#.O..##O,-8567592865624680735,0.972552,7833,0.972552,7833
####.###.,-8494620903463600438,0.003954797,3540,0.003954797,3540
.#.O..###,-2589311360953637088,0.58167213,11185,0.6005347,22210
####.##O#,4833957276551150883,0.5136934,9348,0.5136934,9348
####.##OO,1593300305418800354,0.46934727,9526,0.46934727,9526
.#.O..#O.,1520047107262047433,0.97092396,79241,0.9495143,88880
.#.O..#OO,6835079481495767846,0.91344535,21732,0.91344535,21732
####.##O.,6764358772382589709,0.07824636,1802,0.07824636,1802
.#.O..#O#,851800680273378023,0.95974195,7750,0.81935835,14766
####.##.#,-3568803773842618278,0.0024991038,5602,0.0024991038,5602
.#.O..#..,-7461075203498339920,0.9716867,105427,0.924276,114104
####.##.O,-7246239814185043557,0.004621069,1082,0.004621069,1082
####.##..,-3408256116203841932,5.197503E-4,3848,5.197503E-4,3848
.#.O..#.O,-3190886118280479137,0.9749666,24807,0.9749666,24807
.#.O..#.#,-8737386398499860578,0.9032517,11132,0.7514482,39530
####.#O#O,-2674985866214445601,0.7679666,53432,0.7679666,53432
.#.O..O#.,-2745988083824704012,0.8948578,55059,0.8281573,61359
####.#O##,-8076737399140099042,0.001119401,21440,0.001119401,21440
.#.O..O##,-4094277166559405094,0.54519236,13089,0.47561884,17480
####.#O#.,-7988307262916279760,9.1701053E-4,13086,0.0016458307,13141
.#.O..O#O,-7915335573256574437,0.9472894,5312,0.9472894,5312
.#.O..OO.,1019666602652899379,0.12743427,2362,0.3136963,8051
####.#OOO,946413131523960856,0.44025853,9608,0.44025853,9608
####.#OO#,6353300467530629593,0.46934727,9526,0.46934727,9526
.#.O..OO#,1219608678272009757,0.6177215,1580,0.6871449,8693
.#.O..OOO,5036654985658480604,0.07328608,2115,0.07328608,2115
####.#OO.,5107376525614456823,0.10201042,1343,0.10201042,1343
.#.O..O..,-8986317092822979254,0.50063723,18011,0.45031536,23327
####.#O.O,-9201152200574286495,0.14064921,1294,0.14064921,1294
####.#O.#,-3078262617386781536,0.004621069,1082,0.004621069,1082
.#.O..O.#,-7097586384145976476,0.3331766,4262,0.34265342,18344
.#.O..O.O,-3996541773585792347,0.5691052,7749,0.5691052,7749
####.#O..,-3779172597915424114,0.008333328,720,0.008333328,720
.#.O...#O,1104337833674278195,0.9799199,16733,0.9799199,16733
####.#.#.,889361477966408984,0.0019171722,5216,0.0019171722,5216
.#.O...##,6510592967165785330,0.6903203,8864,0.64289594,11465
####.#.##,1341469553712771894,0.003954797,3540,0.003954797,3540
.#.O...#.,4940513876690414300,0.9708594,164650,0.96041596,166868
####.#.#O,5158024361721037559,9.1701053E-4,13086,9.1701053E-4,13086
.#.O...OO,-2841285014812436236,0.32781488,6583,0.32781488,6583
####.#.O.,-2624056308164038433,0.017902808,782,0.017902808,782
.#.O...O#,-8243668751324911307,0.8960297,14812,0.8976596,17815
####.#.O#,-4224653191585337615,0.07824636,1802,0.07824636,1802
.#.O...O.,-7830946059867261157,0.4793017,23142,0.5110882,25529
####.#.OO,-8046203098732339408,0.10201042,1343,0.10201042,1343
####.#...,6267286477725828518,0.0,6670,0.0,6670
.#.O....O,6196143010951048589,0.84639674,53404,0.84639674,53404
.#.O....#,68749828539882572,0.6438334,22540,0.6326755,25017
####.#..#,5202679180925508488,5.197503E-4,3848,5.197503E-4,3848
####.#..O,2106138170396387913,0.008333328,720,0.008333328,720
.#.O.....,2179251168208388706,0.9108471,510105,0.90806264,512450
####.#***,5679733381676945180,5.5493845E-4,3604,0.22255142,15079
.#.O..***,438513651433326808,0.8508559,6544,0.8508559,6544
####.O#O#,6721696156978156725,0.8793953,8474,0.8793953,8474
O#O#..#OO,5658516718312513213,0.9400392,6104,0.9400392,6104
####.O#OO,594866220771452276,0.40721965,9474,0.40721965,9474
O#O#..#O#,1985584263535062908,0.96452105,1973,0.96452105,1973
####.O#O.,4864518667135421083,0.56130683,19002,0.56130683,19002
O#O#..#O.,379508124438720850,0.9552117,4912,0.9552117,4912
####.O###,-8463780788602517134,0.5136934,9348,0.5136934,9348
O#O#..##O,-7402288567974067334,0.8669829,2744,0.8669829,2744
